ma_chi_tiet,ma_don,ma_san_pham,ma_lich,ngay_khoi_hanh,so_luong,don_gia,thanh_tien
CT000001,DH00001,SP0014,LKD000180,2026-02-14,3,57000,171000
CT000002,DH00002,SP0114,LKD001778,2026-01-20,2,299000,598000
CT000003,DH00002,SP0095,LKD001473,2026-01-11,3,2530000,7590000
CT000004,DH00003,SP0097,LKD001513,2026-02-09,4,793000,3172000
CT000005,DH00004,SP0089,LKD001384,2026-01-17,3,862000,2586000
CT000006,DH00005,SP0085,LKD001316,2026-02-07,4,299000,1196000
CT000007,DH00006,SP0118,LKD001845,2026-01-05,4,207000,828000
CT000008,DH00006,SP0105,LKD001635,2026-01-05,4,288000,1152000
CT000009,DH00007,SP0036,LKD000514,2026-02-22,3,3680000,11040000
CT000010,DH00008,SP0013,LKD000168,2026-02-24,1,103000,103000
CT000011,DH00008,SP0076,LKD001162,2026-01-10,1,1127000,1127000
CT000012,DH00008,SP0003,LKD000047,2026-03-01,2,207000,414000
CT000013,DH00009,SP0005,LKD000065,2026-01-30,4,1667000,6668000
CT000014,DH00010,SP0104,LKD001624,2026-01-21,4,138000,552000
CT000015,DH00011,SP0010,LKD000128,2026-02-22,3,977000,2931000
CT000016,DH00012,SP0048,LKD000718,2026-01-20,1,2530000,2530000
CT000017,DH00013,SP0140,LKD002137,2026-01-09,1,7475000,7475000
CT000018,DH00013,SP0053,LKD000803,2026-02-04,2,207000,414000
CT000019,DH00014,SP0049,LKD000732,2026-01-25,3,207000,621000
CT000020,DH00014,SP0060,LKD000913,2026-01-13,2,598000,1196000
CT000021,DH00015,SP0021,LKD000281,2026-02-04,3,288000,864000
CT000022,DH00016,SP0136,LKD002083,2026-01-26,3,1127000,3381000
CT000023,DH00016,SP0051,LKD000771,2026-02-01,3,207000,621000
CT000024,DH00017,SP0005,LKD000063,2026-01-20,2,1667000,3334000
CT000025,DH00018,SP0083,LKD001285,2026-02-09,4,517000,2068000
CT000026,DH00019,SP0062,LKD000954,2026-02-26,1,2530000,2530000
CT000027,DH00019,SP0083,LKD001279,2026-01-10,3,517000,1551000
CT000028,DH00020,SP0028,LKD000396,2026-02-04,4,103000,412000
CT000029,DH00021,SP0095,LKD001477,2026-01-23,3,2530000,7590000
CT000030,DH00021,SP0086,LKD001344,2026-03-03,4,977000,3908000
CT000031,DH00021,SP0061,LKD000927,2026-01-09,4,57000,228000
CT000032,DH00022,SP0067,LKD001018,2026-02-07,4,57000,228000
CT000033,DH00023,SP0017,LKD000230,2026-02-24,2,862000,1724000
CT000034,DH00024,SP0035,LKD000486,2026-01-17,1,299000,299000
CT000035,DH00025,SP0039,LKD000558,2026-02-04,4,402000,1608000
CT000036,DH00026,SP0047,LKD000711,2026-02-22,4,207000,828000
