ma_diem_den,ten_diem_den,duong_dan_tinh,tinh_thanh,vung_mien,loai_hinh,vi_do,kinh_do,mua_phu_hop,thoi_luong_tham_quan_gio,gia_ve_tham_quan,suc_tai_ngay,trang_thai
DD001,Làng gốm Tây Hồ,lang-gom-tay-ho-lao-cai,Lào Cai,Tây Bắc Bộ,Làng nghề truyền thống,22.441176,103.949079,Hè (T4–T6),3,40000,2000,hoat_dong
DD002,Đồi chè Thiên Hương,doi-che-thien-huong-lao-cai,Lào Cai,Tây Bắc Bộ,Sinh thái nông nghiệp,22.586099,104.029335,Hè (T4–T6),5,40000,400,hoat_dong
DD003,Đồi chè Hòa Xuân,doi-che-hoa-xuan-son-la,Sơn La,Tây Bắc Bộ,Sinh thái nông nghiệp,21.336802,104.049389,Thu (T7–T9),3,40000,600,hoat_dong
DD004,Bãi biển Ngọc Trai,bai-bien-ngoc-trai-son-la,Sơn La,Tây Bắc Bộ,Bãi biển,21.292057,103.84001,Thu (T7–T9),8,120000,1200,hoat_dong
DD005,Đền Thiên Hương,den-thien-huong-dien-bien,Điện Biên,Tây Bắc Bộ,Di tích lịch sử,21.244973,103.154706,Xuân (T1–T3),4,20000,800,hoat_dong
DD006,Cánh đồng Thiên Hương,canh-dong-thien-huong-dien-bien,Điện Biên,Tây Bắc Bộ,Sinh thái nông nghiệp,21.408888,102.831892,Xuân (T1–T3),1.5,80000,1200,hoat_dong
DD007,Đền Ban Mai,den-ban-mai-hoa-binh,Hòa Bình,Tây Bắc Bộ,Di tích lịch sử,20.691508,105.246187,Thu (T7–T9),8,40000,1200,hoat_dong
DD008,Đảo Hương Giang,dao-huong-giang-hoa-binh,Hòa Bình,Tây Bắc Bộ,Bãi biển,20.874981,105.359737,Hè (T4–T6),3,120000,200,hoat_dong
DD009,Cánh đồng Ngọc Trai,canh-dong-ngoc-trai-yen-bai,Yên Bái,Tây Bắc Bộ,Sinh thái nông nghiệp,21.892021,104.923064,Xuân (T1–T3),6,150000,1200,hoat_dong
DD010,Thành cổ Tây Hồ,thanh-co-tay-ho-yen-bai,Yên Bái,Tây Bắc Bộ,Di sản văn hóa,21.562451,104.75673,Thu (T7–T9),8,150000,200,hoat_dong
DD011,Thác Đại Lộc,thac-dai-loc-ha-giang,Hà Giang,Đông Bắc Bộ,Danh thắng thiên nhiên,22.94872,104.741563,Xuân (T1–T3),5,20000,1200,hoat_dong
DD012,Rừng nguyên sinh Ban Mai,rung-nguyen-sinh-ban-mai-ha-giang,Hà Giang,Đông Bắc Bộ,Vườn quốc gia,22.695825,104.947942,Thu (T7–T9),4,20000,400,hoat_dong
DD013,Miệt vườn Phú Cường,miet-vuon-phu-cuong-cao-bang,Cao Bằng,Đông Bắc Bộ,Sinh thái nông nghiệp,22.538337,106.372525,Xuân (T1–T3),5,20000,800,hoat_dong
DD014,Rừng nguyên sinh Long Hải,rung-nguyen-sinh-long-hai-cao-bang,Cao Bằng,Đông Bắc Bộ,Vườn quốc gia,22.730581,106.352396,Xuân (T1–T3),6,60000,800,hoat_dong
DD015,Thành cổ Phú Cường,thanh-co-phu-cuong-quang-ninh,Quảng Ninh,Đông Bắc Bộ,Di sản văn hóa,21.087329,107.053659,Hè (T4–T6),1.5,60000,400,hoat_dong
DD016,Thác Thiên Hương,thac-thien-huong-quang-ninh,Quảng Ninh,Đông Bắc Bộ,Danh thắng thiên nhiên,20.887105,107.238765,Hè (T4–T6),8,40000,200,hoat_dong
DD017,Đảo Thanh Bình,dao-thanh-binh-lang-son,Lạng Sơn,Đông Bắc Bộ,Bãi biển,21.846731,107.000244,Xuân (T1–T3),5,250000,800,hoat_dong
DD018,Vịnh Ngọc Trai,vinh-ngoc-trai-lang-son,Lạng Sơn,Đông Bắc Bộ,Bãi biển,21.771572,106.796337,Thu (T7–T9),1.5,0,1200,hoat_dong
DD019,Chùa Hương Giang,chua-huong-giang-tuyen-quang,Tuyên Quang,Đông Bắc Bộ,Di tích lịch sử,21.756716,105.191515,Thu (T7–T9),1.5,0,400,hoat_dong
DD020,Miệt vườn Tây Hồ,miet-vuon-tay-ho-tuyen-quang,Tuyên Quang,Đông Bắc Bộ,Sinh thái nông nghiệp,21.738328,104.99213,Thu (T7–T9),2,40000,200,hoat_dong
DD021,Đền Thanh Bình,den-thanh-binh-ha-noi,Hà Nội,Đồng bằng sông Hồng,Di tích lịch sử,21.27949,105.682244,Xuân (T1–T3),2,60000,2000,hoat_dong
DD022,Khu di sản Mỹ Cảnh,khu-di-san-my-canh-ha-noi,Hà Nội,Đồng bằng sông Hồng,Di sản văn hóa,20.881594,106.055909,Đông (T10–T12),5,20000,400,hoat_dong
