ma_don,ma_nguoi_dung,ngay_dat,trang_thai,tong_tien,phi_huy,so_tien_hoan,kenh_dat,ghi_chu
DH00001,ND0083,2025-10-12,da_thanh_toan,171000,0,0,website,Đi cùng trẻ nhỏ
DH00002,ND0106,2025-11-22,da_thanh_toan,8188000,0,0,ung_dung_di_dong,
DH00003,ND0058,2025-12-25,hoan_tat,3172000,0,0,website,
DH00004,ND0107,2025-12-21,hoan_tat,2586000,0,0,tong_dai,Yêu cầu ăn chay
DH00005,ND0057,2025-11-25,da_huy,1196000,358800,0,tong_dai,Yêu cầu ăn chay
DH00006,ND0059,2025-11-26,hoan_tat,1980000,0,0,ung_dung_di_dong,
DH00007,ND0090,2025-12-12,hoan_tat,11040000,0,0,tong_dai,Yêu cầu ăn chay
DH00008,ND0076,2025-10-31,hoan_tat,1644000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00009,ND0095,2025-12-25,da_thanh_toan,6668000,0,0,ung_dung_di_dong,
DH00010,ND0099,2025-12-22,hoan_tat,552000,0,0,ung_dung_di_dong,
DH00011,ND0037,2025-10-13,hoan_tat,2931000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00012,ND0080,2025-12-31,hoan_tat,2530000,0,0,website,
DH00013,ND0105,2025-10-11,da_thanh_toan,7889000,0,0,tong_dai,
DH00014,ND0054,2025-10-23,da_thanh_toan,1817000,0,0,tong_dai,
DH00015,ND0076,2025-12-16,da_huy,864000,259200,0,website,Yêu cầu ăn chay
DH00016,ND0091,2025-12-24,da_thanh_toan,4002000,0,0,tong_dai,Yêu cầu ăn chay
DH00017,ND0059,2025-12-20,da_huy,3334000,1000200,0,tong_dai,
DH00018,ND0075,2025-12-03,cho_thanh_toan,2068000,0,0,tong_dai,
DH00019,ND0085,2025-10-26,da_huy,4081000,1224300,0,website,
DH00020,ND0086,2025-10-20,hoan_tat,412000,0,0,website,
DH00021,ND0097,2025-11-12,hoan_tat,11726000,0,0,tong_dai,Cần đón tại sân bay
DH00022,ND0042,2025-12-18,da_thanh_toan,228000,0,0,tong_dai,
DH00023,ND0094,2025-09-13,cho_thanh_toan,1724000,0,0,tong_dai,
DH00024,ND0054,2025-09-26,hoan_tat,299000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00025,ND0101,2025-09-12,hoan_tat,1608000,0,0,tong_dai,
DH00026,ND0047,2025-10-15,cho_hoan_tien,828000,248400,579600,tong_dai,Cần đón tại sân bay
DH00027,ND0063,2025-11-10,cho_thanh_toan,3159000,0,0,tong_dai,
DH00028,ND0091,2025-10-10,da_thanh_toan,19780000,0,0,ung_dung_di_dong,
DH00029,ND0051,2025-10-12,hoan_tat,12994000,0,0,website,
DH00030,ND0078,2025-10-17,da_thanh_toan,18273000,0,0,ung_dung_di_dong,
DH00031,ND0050,2025-09-18,hoan_tat,2782000,0,0,website,
DH00032,ND0082,2025-12-27,da_huy,828000,248400,0,ung_dung_di_dong,Cần đón tại sân bay
DH00033,ND0097,2025-12-04,da_thanh_toan,4348000,0,0,website,
DH00034,ND0039,2025-09-28,da_thanh_toan,138000,0,0,ung_dung_di_dong,
DH00035,ND0088,2025-11-06,da_huy,7475000,2242500,0,ung_dung_di_dong,Cần đón tại sân bay
DH00036,ND0063,2025-09-26,cho_thanh_toan,1034000,0,0,tong_dai,Cần đón tại sân bay
DH00037,ND0047,2025-11-05,da_thanh_toan,172000,0,0,website,Cần đón tại sân bay
DH00038,ND0101,2025-09-17,cho_thanh_toan,793000,0,0,ung_dung_di_dong,
DH00039,ND0041,2025-10-30,da_huy,5060000,1518000,0,website,Yêu cầu ăn chay
DH00040,ND0064,2025-12-09,da_thanh_toan,1403000,0,0,tong_dai,
DH00041,ND0105,2025-11-12,da_huy,206000,61800,0,website,Đi cùng trẻ nhỏ
DH00042,ND0104,2025-09-24,da_huy,22734000,6820200,0,website,
DH00043,ND0095,2026-01-03,hoan_tat,19458000,0,0,ung_dung_di_dong,
DH00044,ND0064,2025-11-12,da_huy,10120000,3036000,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00045,ND0058,2025-12-09,da_thanh_toan,414000,0,0,ung_dung_di_dong,
DH00046,ND0060,2025-12-10,hoan_tat,516000,0,0,website,Cần đón tại sân bay
DH00047,ND0089,2025-12-02,hoan_tat,5461000,0,0,website,Cần đón tại sân bay
DH00048,ND0072,2025-10-07,cho_hoan_tien,14720000,4416000,10304000,website,Đi cùng trẻ nhỏ
DH00049,ND0055,2025-11-20,da_thanh_toan,5183000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00050,ND0087,2025-12-27,da_huy,1449000,434700,0,ung_dung_di_dong,Cần đón tại sân bay
DH00051,ND0071,2025-10-11,hoan_tat,2703000,0,0,tong_dai,Yêu cầu ăn chay
DH00052,ND0100,2025-10-10,hoan_tat,2586000,0,0,tong_dai,Cần đón tại sân bay
DH00053,ND0101,2025-10-11,da_huy,1127000,338100,0,tong_dai,Đi cùng trẻ nhỏ
DH00054,ND0089,2025-09-26,hoan_tat,15351000,0,0,tong_dai,Cần đón tại sân bay
DH00055,ND0095,2025-12-04,da_thanh_toan,57000,0,0,tong_dai,Yêu cầu ăn chay
DH00056,ND0039,2025-09-29,hoan_tat,3334000,0,0,ung_dung_di_dong,
DH00057,ND0065,2025-09-08,hoan_tat,1713000,0,0,website,Cần đón tại sân bay
DH00058,ND0052,2025-12-28,da_thanh_toan,2254000,0,0,tong_dai,Đi cùng trẻ nhỏ
