ma_gia_mua,ma_san_pham,mua,he_so_gia,gia_ap_dung
GM00001,SP0001,Xuân (T1–T3),1.15,57000
GM00002,SP0001,Hè (T4–T6),1.35,68000
GM00003,SP0001,Thu (T7–T9),1.0,50000
GM00004,SP0001,Đông (T10–T12),0.85,42000
GM00005,SP0002,Xuân (T1–T3),1.15,2530000
GM00006,SP0002,Hè (T4–T6),1.35,2970000
GM00007,SP0002,Thu (T7–T9),1.0,2200000
GM00008,SP0002,Đông (T10–T12),0.85,1870000
GM00009,SP0003,Xuân (T1–T3),1.15,207000
GM00010,SP0003,Hè (T4–T6),1.35,243000
GM00011,SP0003,Thu (T7–T9),1.0,180000
GM00012,SP0003,Đông (T10–T12),0.85,153000
GM00013,SP0004,Xuân (T1–T3),1.15,57000
GM00014,SP0004,Hè (T4–T6),1.35,68000
GM00015,SP0004,Thu (T7–T9),1.0,50000
GM00016,SP0004,Đông (T10–T12),0.85,42000
GM00017,SP0005,Xuân (T1–T3),1.15,1667000
GM00018,SP0005,Hè (T4–T6),1.35,1958000
GM00019,SP0005,Thu (T7–T9),1.0,1450000
GM00020,SP0005,Đông (T10–T12),0.85,1232000
GM00021,SP0006,Xuân (T1–T3),1.15,517000
GM00022,SP0006,Hè (T4–T6),1.35,608000
GM00023,SP0006,Thu (T7–T9),1.0,450000
GM00024,SP0006,Đông (T10–T12),0.85,382000
GM00025,SP0007,Xuân (T1–T3),1.15,2818000
GM00026,SP0007,Hè (T4–T6),1.35,3308000
GM00027,SP0007,Thu (T7–T9),1.0,2450000
GM00028,SP0007,Đông (T10–T12),0.85,2082000
GM00029,SP0008,Xuân (T1–T3),1.15,2818000
GM00030,SP0008,Hè (T4–T6),1.35,3308000
GM00031,SP0008,Thu (T7–T9),1.0,2450000
GM00032,SP0008,Đông (T10–T12),0.85,2082000
GM00033,SP0009,Xuân (T1–T3),1.15,552000
GM00034,SP0009,Hè (T4–T6),1.35,648000
GM00035,SP0009,Thu (T7–T9),1.0,480000
GM00036,SP0009,Đông (T10–T12),0.85,408000
GM00037,SP0010,Xuân (T1–T3),1.15,977000
GM00038,SP0010,Hè (T4–T6),1.35,1148000
GM00039,SP0010,Thu (T7–T9),1.0,850000
GM00040,SP0010,Đông (T10–T12),0.85,722000
GM00041,SP0011,Xuân (T1–T3),1.15,1667000
GM00042,SP0011,Hè (T4–T6),1.35,1958000
GM00043,SP0011,Thu (T7–T9),1.0,1450000
GM00044,SP0011,Đông (T10–T12),0.85,1232000
GM00045,SP0012,Xuân (T1–T3),1.15,103000
GM00046,SP0012,Hè (T4–T6),1.35,122000
GM00047,SP0012,Thu (T7–T9),1.0,90000
GM00048,SP0012,Đông (T10–T12),0.85,76000
GM00049,SP0013,Xuân (T1–T3),1.15,103000
GM00050,SP0013,Hè (T4–T6),1.35,122000
GM00051,SP0013,Thu (T7–T9),1.0,90000
GM00052,SP0013,Đông (T10–T12),0.85,76000
GM00053,SP0014,Xuân (T1–T3),1.15,57000
GM00054,SP0014,Hè (T4–T6),1.35,68000
GM00055,SP0014,Thu (T7–T9),1.0,50000
GM00056,SP0014,Đông (T10–T12),0.85,42000
GM00057,SP0015,Xuân (T1–T3),1.15,207000
GM00058,SP0015,Hè (T4–T6),1.35,243000
GM00059,SP0015,Thu (T7–T9),1.0,180000
GM00060,SP0015,Đông (T10–T12),0.85,153000
GM00061,SP0016,Xuân (T1–T3),1.15,977000
GM00062,SP0016,Hè (T4–T6),1.35,1148000
GM00063,SP0016,Thu (T7–T9),1.0,850000
GM00064,SP0016,Đông (T10–T12),0.85,722000
GM00065,SP0017,Xuân (T1–T3),1.15,862000
GM00066,SP0017,Hè (T4–T6),1.35,1013000
GM00067,SP0017,Thu (T7–T9),1.0,750000
GM00068,SP0017,Đông (T10–T12),0.85,638000
GM00069,SP0018,Xuân (T1–T3),1.15,103000
GM00070,SP0018,Hè (T4–T6),1.35,122000
GM00071,SP0018,Thu (T7–T9),1.0,90000
GM00072,SP0018,Đông (T10–T12),0.85,76000
GM00073,SP0019,Xuân (T1–T3),1.15,207000
GM00074,SP0019,Hè (T4–T6),1.35,243000
GM00075,SP0019,Thu (T7–T9),1.0,180000
GM00076,SP0019,Đông (T10–T12),0.85,153000
GM00077,SP0020,Xuân (T1–T3),1.15,977000
GM00078,SP0020,Hè (T4–T6),1.35,1148000
GM00079,SP0020,Thu (T7–T9),1.0,850000
GM00080,SP0020,Đông (T10–T12),0.85,722000
GM00081,SP0021,Xuân (T1–T3),1.15,288000
GM00082,SP0021,Hè (T4–T6),1.35,338000
GM00083,SP0021,Thu (T7–T9),1.0,250000
GM00084,SP0021,Đông (T10–T12),0.85,212000
GM00085,SP0022,Xuân (T1–T3),1.15,138000
GM00086,SP0022,Hè (T4–T6),1.35,162000
GM00087,SP0022,Thu (T7–T9),1.0,120000
GM00088,SP0022,Đông (T10–T12),0.85,102000
GM00089,SP0023,Xuân (T1–T3),1.15,977000
GM00090,SP0023,Hè (T4–T6),1.35,1148000
GM00091,SP0023,Thu (T7–T9),1.0,850000
