ma_lich,ma_san_pham,ngay_khoi_hanh,tong_cho,da_dat,con_lai,trang_thai
LKD000001,SP0001,2026-01-05,200,6,194,mo_ban
LKD000002,SP0001,2026-01-08,200,98,102,mo_ban
LKD000003,SP0001,2026-01-11,200,146,54,mo_ban
LKD000004,SP0001,2026-01-14,200,142,58,mo_ban
LKD000005,SP0001,2026-01-17,200,42,158,mo_ban
LKD000006,SP0001,2026-01-20,200,111,89,mo_ban
LKD000007,SP0001,2026-01-23,200,95,105,mo_ban
LKD000008,SP0001,2026-01-26,200,133,67,mo_ban
LKD000009,SP0001,2026-01-29,200,34,166,mo_ban
LKD000010,SP0001,2026-02-01,200,68,132,mo_ban
LKD000011,SP0001,2026-02-04,200,188,12,mo_ban
LKD000012,SP0001,2026-02-07,200,112,88,mo_ban
LKD000013,SP0001,2026-02-10,200,91,109,mo_ban
LKD000014,SP0001,2026-02-13,200,43,157,mo_ban
LKD000015,SP0001,2026-02-16,200,152,48,mo_ban
LKD000016,SP0001,2026-02-19,200,4,196,mo_ban
LKD000017,SP0001,2026-02-22,200,51,149,mo_ban
LKD000018,SP0001,2026-02-25,200,173,27,mo_ban
LKD000019,SP0001,2026-02-28,200,120,80,mo_ban
LKD000020,SP0001,2026-03-03,200,143,57,mo_ban
LKD000021,SP0002,2026-01-05,6,3,3,mo_ban
LKD000022,SP0002,2026-01-09,6,4,2,mo_ban
LKD000023,SP0002,2026-01-13,6,5,1,mo_ban
LKD000024,SP0002,2026-01-17,6,6,0,het_cho
LKD000025,SP0002,2026-01-21,6,5,1,mo_ban
LKD000026,SP0002,2026-01-25,6,3,3,mo_ban
LKD000027,SP0002,2026-01-29,6,6,0,het_cho
LKD000028,SP0002,2026-02-02,6,4,2,mo_ban
LKD000029,SP0002,2026-02-06,6,6,0,het_cho
LKD000030,SP0002,2026-02-10,6,0,6,mo_ban
LKD000031,SP0002,2026-02-14,6,5,1,mo_ban
LKD000032,SP0002,2026-02-18,6,0,6,mo_ban
LKD000033,SP0002,2026-02-22,6,4,2,mo_ban
LKD000034,SP0002,2026-02-26,6,0,6,mo_ban
LKD000035,SP0002,2026-03-02,6,6,0,het_cho
LKD000036,SP0003,2026-01-05,20,10,10,mo_ban
LKD000037,SP0003,2026-01-10,20,14,6,mo_ban
LKD000038,SP0003,2026-01-15,20,5,15,mo_ban
LKD000039,SP0003,2026-01-20,20,8,12,mo_ban
LKD000040,SP0003,2026-01-25,20,13,7,mo_ban
LKD000041,SP0003,2026-01-30,20,20,0,het_cho
LKD000042,SP0003,2026-02-04,20,12,8,mo_ban
LKD000043,SP0003,2026-02-09,20,15,5,mo_ban
LKD000044,SP0003,2026-02-14,20,3,17,mo_ban
LKD000045,SP0003,2026-02-19,20,0,20,mo_ban
LKD000046,SP0003,2026-02-24,20,7,13,mo_ban
LKD000047,SP0003,2026-03-01,20,19,1,mo_ban
LKD000048,SP0004,2026-01-05,100,56,44,mo_ban
LKD000049,SP0004,2026-01-10,100,15,85,mo_ban
LKD000050,SP0004,2026-01-15,100,20,80,mo_ban
LKD000051,SP0004,2026-01-20,100,38,62,mo_ban
LKD000052,SP0004,2026-01-25,100,39,61,mo_ban
LKD000053,SP0004,2026-01-30,100,82,18,mo_ban
LKD000054,SP0004,2026-02-04,100,43,57,mo_ban
LKD000055,SP0004,2026-02-09,100,1,99,mo_ban
LKD000056,SP0004,2026-02-14,100,55,45,mo_ban
LKD000057,SP0004,2026-02-19,100,53,47,mo_ban
LKD000058,SP0004,2026-02-24,100,66,34,mo_ban
LKD000059,SP0004,2026-03-01,100,56,44,mo_ban
LKD000060,SP0005,2026-01-05,6,1,5,mo_ban
LKD000061,SP0005,2026-01-10,6,3,3,mo_ban
LKD000062,SP0005,2026-01-15,6,2,4,mo_ban
LKD000063,SP0005,2026-01-20,6,1,5,mo_ban
LKD000064,SP0005,2026-01-25,6,6,0,het_cho
LKD000065,SP0005,2026-01-30,6,4,2,mo_ban
LKD000066,SP0005,2026-02-04,6,3,3,mo_ban
LKD000067,SP0005,2026-02-09,6,3,3,mo_ban
LKD000068,SP0005,2026-02-14,6,6,0,het_cho
LKD000069,SP0005,2026-02-19,6,4,2,mo_ban
LKD000070,SP0005,2026-02-24,6,3,3,mo_ban
LKD000071,SP0005,2026-03-01,6,6,0,het_cho
LKD000072,SP0006,2026-01-05,2,2,0,het_cho
LKD000073,SP0006,2026-01-10,2,1,1,mo_ban
LKD000074,SP0006,2026-01-15,2,2,0,het_cho
LKD000075,SP0006,2026-01-20,2,0,2,mo_ban
LKD000076,SP0006,2026-01-25,2,1,1,mo_ban
LKD000077,SP0006,2026-01-30,2,1,1,mo_ban
LKD000078,SP0006,2026-02-04,2,1,1,mo_ban
LKD000079,SP0006,2026-02-09,2,0,2,mo_ban
LKD000080,SP0006,2026-02-14,2,0,2,mo_ban
LKD000081,SP0006,2026-02-19,2,0,2,mo_ban
LKD000082,SP0006,2026-02-24,2,0,2,mo_ban
LKD000083,SP0006,2026-03-01,2,2,0,het_cho
LKD000084,SP0008,2026-01-05,25,24,1,mo_ban
LKD000085,SP0008,2026-01-08,25,15,10,mo_ban
LKD000086,SP0008,2026-01-11,25,13,12,mo_ban
LKD000087,SP0008,2026-01-14,25,5,20,mo_ban
LKD000088,SP0008,2026-01-17,25,17,8,mo_ban
LKD000089,SP0008,2026-01-20,25,18,7,mo_ban
LKD000090,SP0008,2026-01-23,25,22,3,mo_ban
LKD000091,SP0008,2026-01-26,25,8,17,mo_ban
LKD000092,SP0008,2026-01-29,25,11,14,mo_ban
LKD000093,SP0008,2026-02-01,25,3,22,mo_ban
LKD000094,SP0008,2026-02-04,25,17,8,mo_ban
LKD000095,SP0008,2026-02-07,25,2,23,mo_ban
LKD000096,SP0008,2026-02-10,25,12,13,mo_ban
LKD000097,SP0008,2026-02-13,25,1,24,mo_ban
LKD000098,SP0008,2026-02-16,25,21,4,mo_ban
LKD000099,SP0008,2026-02-19,25,9,16,mo_ban
LKD000100,SP0008,2026-02-22,25,11,14,mo_ban
LKD000101,SP0008,2026-02-25,25,9,16,mo_ban
LKD000102,SP0008,2026-02-28,25,21,4,mo_ban
LKD000103,SP0008,2026-03-03,25,20,5,mo_ban
LKD000104,SP0009,2026-01-05,29,20,9,mo_ban
LKD000105,SP0009,2026-01-10,29,27,2,mo_ban
LKD000106,SP0009,2026-01-15,29,5,24,mo_ban
LKD000107,SP0009,2026-01-20,29,19,10,mo_ban
LKD000108,SP0009,2026-01-25,29,17,12,mo_ban
LKD000109,SP0009,2026-01-30,29,22,7,mo_ban
LKD000110,SP0009,2026-02-04,29,2,27,mo_ban
LKD000111,SP0009,2026-02-09,29,0,29,mo_ban
LKD000112,SP0009,2026-02-14,29,14,15,mo_ban
LKD000113,SP0009,2026-02-19,29,6,23,mo_ban
LKD000114,SP0009,2026-02-24,29,22,7,mo_ban
LKD000115,SP0009,2026-03-01,29,3,26,mo_ban
LKD000116,SP0010,2026-01-05,20,15,5,mo_ban
