ma_nhat_ky,thoi_diem,ma_nguoi_dung,vai_tro,hanh_dong,doi_tuong,muc,dia_chi_ip_mo_phong
NK00001,2025-11-20T21:29:00,ND0062,khach_hang,dang_nhap,don_dat,info,10.78.203.59
NK00002,2025-10-17T18:54:00,ND0035,kiem_thu,doi_mat_khau,danh_gia,info,10.77.21.234
NK00003,2025-10-20T06:15:00,ND0014,nha_cung_cap,duyet_danh_gia,nguoi_dung,info,10.197.168.117
NK00004,2025-12-11T21:33:00,ND0055,khach_hang,dang_nhap,don_dat,info,10.190.161.194
NK00005,2025-10-16T07:06:00,ND0061,khach_hang,dang_nhap,don_dat,info,10.254.8.27
NK00006,2025-12-12T06:12:00,ND0047,khach_hang,tai_tep,danh_gia,info,10.124.64.179
NK00007,2025-12-13T19:26:00,ND0061,khach_hang,doi_mat_khau,don_dat,info,10.189.12.13
NK00008,2025-11-13T15:22:00,ND0097,khach_hang,huy_don,san_pham,info,10.212.108.230
NK00009,2026-01-04T14:17:00,ND0030,huong_dan_vien,dang_nhap,nguoi_dung,info,10.68.82.146
NK00010,2026-01-03T20:16:00,ND0089,khach_hang,tao_don,don_dat,info,10.160.66.195
NK00011,2025-11-19T14:14:00,ND0010,nha_cung_cap,huy_don,san_pham,info,10.147.246.191
NK00012,2025-11-03T19:38:00,ND0086,khach_hang,tu_choi_truy_cap,nguoi_dung,warning,10.61.206.171
NK00013,2025-11-25T07:40:00,ND0020,nha_cung_cap,duyet_danh_gia,san_pham,info,10.45.199.111
NK00014,2025-11-18T00:16:00,ND0107,khach_hang,huy_don,danh_gia,info,10.5.207.247
NK00015,2025-12-29T10:39:00,ND0065,khach_hang,tu_choi_truy_cap,don_dat,warning,10.94.209.70
NK00016,2025-10-22T09:23:00,ND0049,khach_hang,huy_don,don_dat,info,10.191.0.228
NK00017,2025-10-15T00:32:00,ND0069,khach_hang,huy_don,don_dat,info,10.219.131.105
NK00018,2025-12-16T22:24:00,ND0025,huong_dan_vien,huy_don,danh_gia,info,10.177.71.177
NK00019,2025-10-06T22:28:00,ND0081,khach_hang,dang_xuat,san_pham,info,10.36.145.1
NK00020,2025-12-19T02:32:00,ND0015,nha_cung_cap,dang_xuat,don_dat,info,10.42.97.118
