ma_thanh_toan,ma_don,phuong_thuc,so_tien,trang_thai,ma_giao_dich_sandbox,thoi_diem
TT00001,DH00001,tien_mat_tai_quay,171000,thanh_cong,SBX8492571477,2025-10-12
TT00002,DH00002,chuyen_khoan_mo_phong,8188000,thanh_cong,SBX2443857835,2025-11-22
TT00003,DH00003,vi_dien_tu_sandbox,3172000,thanh_cong,SBX4617633168,2025-12-25
TT00004,DH00004,tien_mat_tai_quay,2586000,thanh_cong,SBX5455256219,2025-12-21
TT00005,DH00006,chuyen_khoan_mo_phong,1980000,thanh_cong,SBX7576219630,2025-11-26
TT00006,DH00007,chuyen_khoan_mo_phong,11040000,thanh_cong,SBX7828805337,2025-12-12
TT00007,DH00008,chuyen_khoan_mo_phong,1644000,thanh_cong,SBX2568084562,2025-10-31
TT00008,DH00009,the_noi_dia_sandbox,6668000,thanh_cong,SBX5005516358,2025-12-25
TT00009,DH00010,vi_dien_tu_sandbox,552000,thanh_cong,SBX6278631360,2025-12-22
TT00010,DH00011,chuyen_khoan_mo_phong,2931000,thanh_cong,SBX4564221796,2025-10-13
TT00011,DH00012,tien_mat_tai_quay,2530000,thanh_cong,SBX4817238590,2025-12-31
TT00012,DH00013,the_noi_dia_sandbox,7889000,thanh_cong,SBX4109227618,2025-10-11
TT00013,DH00014,vi_dien_tu_sandbox,1817000,thanh_cong,SBX6056496356,2025-10-23
TT00014,DH00016,tien_mat_tai_quay,4002000,thanh_cong,SBX4165553506,2025-12-24
TT00015,DH00020,chuyen_khoan_mo_phong,412000,thanh_cong,SBX7389077507,2025-10-20
TT00016,DH00021,vi_dien_tu_sandbox,11726000,thanh_cong,SBX7882014615,2025-11-12
TT00017,DH00022,the_noi_dia_sandbox,228000,thanh_cong,SBX8549496681,2025-12-18
TT00018,DH00024,the_noi_dia_sandbox,299000,thanh_cong,SBX2534715363,2025-09-26
TT00019,DH00025,tien_mat_tai_quay,1608000,thanh_cong,SBX0457661445,2025-09-12
TT00020,DH00026,the_noi_dia_sandbox,828000,thanh_cong,SBX0966606784,2025-10-15
TT00021,DH00028,the_noi_dia_sandbox,19780000,thanh_cong,SBX3544328141,2025-10-10
TT00022,DH00029,vi_dien_tu_sandbox,12994000,thanh_cong,SBX0394750039,2025-10-12
TT00023,DH00030,the_noi_dia_sandbox,18273000,thanh_cong,SBX4222998355,2025-10-17
TT00024,DH00031,chuyen_khoan_mo_phong,2782000,thanh_cong,SBX2503854394,2025-09-18
TT00025,DH00033,the_noi_dia_sandbox,4348000,thanh_cong,SBX1654804471,2025-12-04
TT00026,DH00034,vi_dien_tu_sandbox,138000,thanh_cong,SBX5113627405,2025-09-28
TT00027,DH00037,vi_dien_tu_sandbox,172000,thanh_cong,SBX2679849763,2025-11-05
TT00028,DH00040,the_noi_dia_sandbox,1403000,thanh_cong,SBX4163058027,2025-12-09
TT00029,DH00043,the_noi_dia_sandbox,19458000,thanh_cong,SBX9433424951,2026-01-03
TT00030,DH00045,vi_dien_tu_sandbox,414000,thanh_cong,SBX6140119937,2025-12-09
TT00031,DH00046,vi_dien_tu_sandbox,516000,thanh_cong,SBX4313399861,2025-12-10
TT00032,DH00047,chuyen_khoan_mo_phong,5461000,thanh_cong,SBX9316879864,2025-12-02
TT00033,DH00048,chuyen_khoan_mo_phong,14720000,thanh_cong,SBX5778758194,2025-10-07
TT00034,DH00049,tien_mat_tai_quay,5183000,thanh_cong,SBX3379480345,2025-11-20
TT00035,DH00051,vi_dien_tu_sandbox,2703000,thanh_cong,SBX3574447360,2025-10-11
TT00036,DH00052,chuyen_khoan_mo_phong,2586000,thanh_cong,SBX7100243575,2025-10-10
TT00037,DH00054,tien_mat_tai_quay,15351000,thanh_cong,SBX4275315007,2025-09-26
TT00038,DH00055,tien_mat_tai_quay,57000,thanh_cong,SBX6157109366,2025-12-04
TT00039,DH00056,vi_dien_tu_sandbox,3334000,thanh_cong,SBX5067954223,2025-09-29
TT00040,DH00057,tien_mat_tai_quay,1713000,thanh_cong,SBX2482552330,2025-09-08
TT00041,DH00058,vi_dien_tu_sandbox,2254000,thanh_cong,SBX3935315897,2025-12-28
TT00042,DH00059,vi_dien_tu_sandbox,1874000,thanh_cong,SBX8715267053,2025-10-31
TT00043,DH00061,tien_mat_tai_quay,3908000,thanh_cong,SBX6956452233,2025-10-19
TT00044,DH00062,the_noi_dia_sandbox,22425000,thanh_cong,SBX9959845853,2025-10-23
TT00045,DH00065,the_noi_dia_sandbox,2968000,thanh_cong,SBX2687172013,2025-10-22
TT00046,DH00067,the_noi_dia_sandbox,2586000,thanh_cong,SBX5853624352,2025-11-09
TT00047,DH00068,vi_dien_tu_sandbox,2644000,nguoi_dung_huy,SBX6723450914,2025-09-24
TT00048,DH00070,tien_mat_tai_quay,3690000,thanh_cong,SBX4298424570,2025-10-15
TT00049,DH00071,tien_mat_tai_quay,1656000,thanh_cong,SBX0839516399,2025-10-12
TT00050,DH00072,the_noi_dia_sandbox,412000,thanh_cong,SBX4643336860,2025-11-05
TT00051,DH00073,tien_mat_tai_quay,2311000,thanh_cong,SBX6939234336,2025-12-25
TT00052,DH00074,chuyen_khoan_mo_phong,5060000,thanh_cong,SBX0350421164,2025-10-27
TT00053,DH00075,tien_mat_tai_quay,2931000,thanh_cong,SBX3964603425,2025-11-21
TT00054,DH00076,vi_dien_tu_sandbox,3381000,thanh_cong,SBX6045300269,2025-11-09
TT00055,DH00077,vi_dien_tu_sandbox,309000,thanh_cong,SBX7082340604,2025-11-14
TT00056,DH00078,the_noi_dia_sandbox,414000,thanh_cong,SBX8360550095,2025-12-01
TT00057,DH00079,tien_mat_tai_quay,828000,thanh_cong,SBX8396296971,2026-01-01
TT00058,DH00080,tien_mat_tai_quay,1104000,thanh_cong,SBX0776529574,2026-01-05
TT00059,DH00081,the_noi_dia_sandbox,4425000,thanh_cong,SBX9946395389,2025-12-17
TT00060,DH00082,chuyen_khoan_mo_phong,3562000,thanh_cong,SBX8671383743,2025-09-15
TT00061,DH00083,tien_mat_tai_quay,10856000,thanh_cong,SBX5847541616,2025-12-30
TT00062,DH00084,vi_dien_tu_sandbox,7844000,thanh_cong,SBX8432929952,2025-12-28
TT00063,DH00085,chuyen_khoan_mo_phong,1127000,thanh_cong,SBX1164243583,2025-11-02
TT00064,DH00087,the_noi_dia_sandbox,4784000,thanh_cong,SBX5657325918,2025-09-20
TT00065,DH00089,vi_dien_tu_sandbox,207000,thanh_cong,SBX5820872961,2025-09-13
TT00066,DH00090,chuyen_khoan_mo_phong,6483000,thanh_cong,SBX8112578807,2025-10-06
TT00067,DH00091,tien_mat_tai_quay,6878000,thanh_cong,SBX4394927911,2025-10-12
TT00068,DH00092,vi_dien_tu_sandbox,1954000,thanh_cong,SBX5734238751,2025-09-24
TT00069,DH00094,chuyen_khoan_mo_phong,1034000,thanh_cong,SBX7248982645,2025-10-07
TT00070,DH00095,vi_dien_tu_sandbox,138000,thanh_cong,SBX6160577952,2025-09-23
TT00071,DH00097,chuyen_khoan_mo_phong,288000,thanh_cong,SBX4319848154,2025-10-22
TT00072,DH00098,chuyen_khoan_mo_phong,930000,thanh_cong,SBX4874091335,2025-10-03
TT00073,DH00099,the_noi_dia_sandbox,1345000,thanh_cong,SBX3474762175,2025-12-20
TT00074,DH00101,tien_mat_tai_quay,1034000,thanh_cong,SBX3347046166,2025-12-13
TT00075,DH00102,the_noi_dia_sandbox,2392000,thanh_cong,SBX4977892228,2025-09-24
TT00076,DH00103,tien_mat_tai_quay,1943000,thanh_cong,SBX5577036430,2025-09-14
TT00077,DH00104,chuyen_khoan_mo_phong,1127000,thanh_cong,SBX7242335463,2025-12-02
TT00078,DH00105,vi_dien_tu_sandbox,849000,thanh_cong,SBX4450917615,2025-11-10
TT00079,DH00106,the_noi_dia_sandbox,552000,thanh_cong,SBX9506787393,2025-12-12
TT00080,DH00108,vi_dien_tu_sandbox,5060000,thanh_cong,SBX1738780303,2025-12-02
TT00081,DH00109,vi_dien_tu_sandbox,2908000,thanh_cong,SBX3697704115,2025-12-25
TT00082,DH00110,chuyen_khoan_mo_phong,414000,thanh_cong,SBX2499219000,2025-09-22
TT00083,DH00113,chuyen_khoan_mo_phong,690000,thanh_cong,SBX2316864453,2025-10-08
TT00084,DH00115,chuyen_khoan_mo_phong,11272000,thanh_cong,SBX9806815981,2025-11-05
TT00085,DH00116,vi_dien_tu_sandbox,7590000,thanh_cong,SBX4315678973,2025-11-25
TT00086,DH00117,vi_dien_tu_sandbox,228000,thanh_cong,SBX6786499779,2025-12-17
TT00087,DH00118,tien_mat_tai_quay,276000,thanh_cong,SBX2651617772,2025-12-10
TT00088,DH00119,the_noi_dia_sandbox,2057000,thanh_cong,SBX4121470653,2025-11-24
TT00089,DH00120,vi_dien_tu_sandbox,598000,thanh_cong,SBX5160703204,2025-12-05
TT00090,DH00121,the_noi_dia_sandbox,414000,nguoi_dung_huy,SBX1376178179,2025-12-29
TT00091,DH00122,the_noi_dia_sandbox,3676000,thanh_cong,SBX8533196682,2025-10-16
TT00092,DH00124,chuyen_khoan_mo_phong,1551000,thanh_cong,SBX8582555285,2025-12-29
TT00093,DH00125,tien_mat_tai_quay,4508000,thanh_cong,SBX6637684321,2025-11-30
TT00094,DH00126,vi_dien_tu_sandbox,1127000,thanh_cong,SBX8550011438,2025-09-24
TT00095,DH00127,vi_dien_tu_sandbox,16077000,thanh_cong,SBX9446321828,2025-09-13
TT00096,DH00128,tien_mat_tai_quay,2770000,thanh_cong,SBX5057213635,2025-11-27
TT00097,DH00129,vi_dien_tu_sandbox,621000,thanh_cong,SBX1554754901,2025-11-20
TT00098,DH00130,chuyen_khoan_mo_phong,23289000,thanh_cong,SBX2020821517,2025-10-04
TT00099,DH00131,chuyen_khoan_mo_phong,977000,thanh_cong,SBX3174924064,2025-11-23
TT00100,DH00132,the_noi_dia_sandbox,5001000,thanh_cong,SBX9963626713,2025-09-08
TT00101,DH00134,chuyen_khoan_mo_phong,3334000,thanh_cong,SBX9967863785,2025-10-18
TT00102,DH00135,tien_mat_tai_quay,2758000,thanh_cong,SBX2640372742,2025-10-01
TT00103,DH00136,chuyen_khoan_mo_phong,22425000,thanh_cong,SBX1935270019,2025-12-11
TT00104,DH00137,chuyen_khoan_mo_phong,57000,thanh_cong,SBX6342624592,2025-12-25
TT00105,DH00138,vi_dien_tu_sandbox,5163000,thanh_cong,SBX7496121351,2025-12-22
TT00106,DH00139,chuyen_khoan_mo_phong,3082000,thanh_cong,SBX8121568450,2025-11-15
TT00107,DH00140,tien_mat_tai_quay,276000,thanh_cong,SBX9437066885,2025-11-19
TT00108,DH00141,chuyen_khoan_mo_phong,552000,thanh_cong,SBX0336819791,2025-11-22
TT00109,DH00142,chuyen_khoan_mo_phong,2208000,thanh_cong,SBX4739486136,2025-09-15
TT00110,DH00143,chuyen_khoan_mo_phong,1656000,thanh_cong,SBX5538520972,2025-09-21
TT00111,DH00144,vi_dien_tu_sandbox,6878000,thanh_cong,SBX0071566167,2025-09-19
TT00112,DH00146,chuyen_khoan_mo_phong,1608000,thanh_cong,SBX3125532208,2025-10-19
TT00113,DH00147,tien_mat_tai_quay,2818000,thanh_cong,SBX8779145017,2025-10-23
TT00114,DH00148,vi_dien_tu_sandbox,598000,thanh_cong,SBX3094185176,2025-09-24
TT00115,DH00149,vi_dien_tu_sandbox,9110000,thanh_cong,SBX4837444249,2025-10-10
TT00116,DH00150,tien_mat_tai_quay,6115000,thanh_cong,SBX2588715396,2025-12-07
TT00117,DH00151,tien_mat_tai_quay,862000,thanh_cong,SBX5892629912,2025-12-01
TT00118,DH00152,the_noi_dia_sandbox,1425000,thanh_cong,SBX3255923949,2025-09-16
TT00119,DH00154,vi_dien_tu_sandbox,3334000,thanh_cong,SBX9912955509,2026-01-04
TT00120,DH00155,the_noi_dia_sandbox,3908000,thanh_cong,SBX6534311258,2025-10-28
TT00121,DH00156,chuyen_khoan_mo_phong,414000,thanh_cong,SBX9700666917,2026-01-05
TT00122,DH00157,the_noi_dia_sandbox,57000,thanh_cong,SBX1586042609,2025-10-04
TT00123,DH00158,the_noi_dia_sandbox,344000,thanh_cong,SBX5999252141,2025-11-08
TT00124,DH00159,tien_mat_tai_quay,4508000,thanh_cong,SBX1722310115,2025-09-07
TT00125,DH00160,chuyen_khoan_mo_phong,3138000,thanh_cong,SBX7511933678,2025-10-08
TT00126,DH00161,tien_mat_tai_quay,7682000,thanh_cong,SBX2976670712,2025-10-30
TT00127,DH00162,the_noi_dia_sandbox,103000,thanh_cong,SBX3303791843,2025-10-19
TT00128,DH00163,tien_mat_tai_quay,414000,thanh_cong,SBX2639368888,2025-11-26
TT00129,DH00165,vi_dien_tu_sandbox,414000,thanh_cong,SBX6901659173,2025-11-24
TT00130,DH00166,chuyen_khoan_mo_phong,2392000,thanh_cong,SBX9096892835,2025-10-20
TT00131,DH00168,the_noi_dia_sandbox,402000,thanh_cong,SBX3448807813,2025-10-14
TT00132,DH00169,vi_dien_tu_sandbox,828000,thanh_cong,SBX5657157666,2026-01-04
TT00133,DH00170,the_noi_dia_sandbox,793000,thanh_cong,SBX0574961824,2025-12-27
TT00134,DH00171,tien_mat_tai_quay,4486000,nguoi_dung_huy,SBX6148778328,2025-09-15
TT00135,DH00172,the_noi_dia_sandbox,1794000,thanh_cong,SBX4298502450,2025-11-28
TT00136,DH00173,chuyen_khoan_mo_phong,2392000,thanh_cong,SBX4385131867,2025-12-03
TT00137,DH00174,vi_dien_tu_sandbox,14950000,thanh_cong,SBX2695111084,2025-10-14
TT00138,DH00175,vi_dien_tu_sandbox,3448000,thanh_cong,SBX3897718429,2025-10-18
TT00139,DH00176,tien_mat_tai_quay,1794000,thanh_cong,SBX6655995661,2025-12-15
TT00140,DH00177,the_noi_dia_sandbox,14375000,thanh_cong,SBX2330082653,2025-11-30
TT00141,DH00178,the_noi_dia_sandbox,2931000,thanh_cong,SBX2885890356,2025-11-14
TT00142,DH00179,the_noi_dia_sandbox,8696000,thanh_cong,SBX9240485980,2025-12-03
TT00143,DH00180,the_noi_dia_sandbox,4094000,thanh_cong,SBX4711101114,2025-09-26
TT00144,DH00181,vi_dien_tu_sandbox,828000,thanh_cong,SBX7102842259,2025-12-18
TT00145,DH00185,tien_mat_tai_quay,228000,thanh_cong,SBX1788732630,2025-11-10
TT00146,DH00186,tien_mat_tai_quay,3069000,thanh_cong,SBX3051317623,2025-10-23
TT00147,DH00187,tien_mat_tai_quay,2737000,thanh_cong,SBX8434762475,2025-09-26
TT00148,DH00188,chuyen_khoan_mo_phong,7128000,thanh_cong,SBX0749822670,2025-12-22
TT00149,DH00189,chuyen_khoan_mo_phong,4368000,thanh_cong,SBX8817080356,2025-10-15
TT00150,DH00190,vi_dien_tu_sandbox,14720000,thanh_cong,SBX1267227952,2025-12-03
TT00151,DH00191,chuyen_khoan_mo_phong,3381000,thanh_cong,SBX5569331611,2025-10-20
TT00152,DH00192,tien_mat_tai_quay,414000,thanh_cong,SBX3081529571,2025-10-02
TT00153,DH00193,vi_dien_tu_sandbox,3506000,thanh_cong,SBX1410211087,2025-12-29
TT00154,DH00194,chuyen_khoan_mo_phong,7475000,thanh_cong,SBX5639192594,2025-10-14
TT00155,DH00195,vi_dien_tu_sandbox,1206000,that_bai,SBX4455432254,2025-10-09
TT00156,DH00196,tien_mat_tai_quay,977000,thanh_cong,SBX1638658219,2025-12-27
TT00157,DH00197,chuyen_khoan_mo_phong,2772000,thanh_cong,SBX7356158698,2025-12-24
TT00158,DH00198,chuyen_khoan_mo_phong,5936000,thanh_cong,SBX3978535282,2025-10-04
TT00159,DH00199,vi_dien_tu_sandbox,621000,thanh_cong,SBX3170371754,2025-10-07
TT00160,DH00202,chuyen_khoan_mo_phong,3448000,thanh_cong,SBX8619262395,2025-10-29
TT00161,DH00203,chuyen_khoan_mo_phong,1152000,thanh_cong,SBX3309813594,2025-09-27
TT00162,DH00204,tien_mat_tai_quay,3908000,thanh_cong,SBX2039501687,2025-10-24
TT00163,DH00205,tien_mat_tai_quay,828000,thanh_cong,SBX2512921688,2025-10-21
TT00164,DH00206,the_noi_dia_sandbox,344000,thanh_cong,SBX3184193367,2025-09-27
TT00165,DH00207,tien_mat_tai_quay,552000,thanh_cong,SBX6470785877,2025-12-22
TT00166,DH00208,chuyen_khoan_mo_phong,3414000,thanh_cong,SBX0405869443,2025-09-30
TT00167,DH00209,tien_mat_tai_quay,2379000,thanh_cong,SBX5663143027,2025-12-27
TT00168,DH00211,tien_mat_tai_quay,57000,thanh_cong,SBX2920828186,2025-12-03
TT00169,DH00212,vi_dien_tu_sandbox,2254000,thanh_cong,SBX6557153780,2025-10-04
TT00170,DH00213,vi_dien_tu_sandbox,2530000,that_bai,SBX2073643345,2025-11-05
TT00171,DH00214,chuyen_khoan_mo_phong,552000,thanh_cong,SBX6661423980,2025-11-26
TT00172,DH00215,tien_mat_tai_quay,3908000,thanh_cong,SBX8468533739,2026-01-05
TT00173,DH00216,the_noi_dia_sandbox,2575000,thanh_cong,SBX3528907336,2026-01-05
TT00174,DH00217,the_noi_dia_sandbox,7728000,thanh_cong,SBX6092902903,2025-10-22
TT00175,DH00218,chuyen_khoan_mo_phong,1794000,thanh_cong,SBX6524742987,2025-10-15
TT00176,DH00219,vi_dien_tu_sandbox,5636000,thanh_cong,SBX4852992686,2025-11-13
TT00177,DH00220,tien_mat_tai_quay,11040000,thanh_cong,SBX4555561655,2025-12-01
TT00178,DH00221,chuyen_khoan_mo_phong,1794000,thanh_cong,SBX8682019062,2025-09-26
TT00179,DH00224,tien_mat_tai_quay,7590000,nguoi_dung_huy,SBX9773049866,2025-09-08
TT00180,DH00225,chuyen_khoan_mo_phong,1172000,thanh_cong,SBX7126074674,2025-11-01
TT00181,DH00226,tien_mat_tai_quay,2092000,thanh_cong,SBX3475637564,2025-12-02
TT00182,DH00227,vi_dien_tu_sandbox,3381000,thanh_cong,SBX5820946668,2025-10-14
TT00183,DH00228,chuyen_khoan_mo_phong,14892000,thanh_cong,SBX3236918918,2025-10-21
TT00184,DH00229,chuyen_khoan_mo_phong,1206000,thanh_cong,SBX9417787489,2025-09-27
TT00185,DH00230,tien_mat_tai_quay,5129000,thanh_cong,SBX4386758294,2025-11-28
TT00186,DH00233,chuyen_khoan_mo_phong,1196000,thanh_cong,SBX4724832445,2025-10-27
TT00187,DH00234,tien_mat_tai_quay,7360000,thanh_cong,SBX1708118857,2025-11-25
TT00188,DH00235,vi_dien_tu_sandbox,228000,thanh_cong,SBX1209342991,2025-12-24
TT00189,DH00236,vi_dien_tu_sandbox,207000,thanh_cong,SBX9843730137,2025-12-18
TT00190,DH00237,chuyen_khoan_mo_phong,598000,thanh_cong,SBX1205510867,2025-11-30
TT00191,DH00240,the_noi_dia_sandbox,2254000,thanh_cong,SBX6760316490,2025-12-23
TT00192,DH00241,chuyen_khoan_mo_phong,3381000,thanh_cong,SBX3665205391,2025-11-06
TT00193,DH00242,tien_mat_tai_quay,13066000,thanh_cong,SBX2539651401,2025-12-12
TT00194,DH00244,the_noi_dia_sandbox,3334000,thanh_cong,SBX0017164848,2025-09-08
TT00195,DH00245,chuyen_khoan_mo_phong,29900000,thanh_cong,SBX5145311386,2025-12-01
TT00196,DH00246,vi_dien_tu_sandbox,10924000,thanh_cong,SBX2204863155,2025-11-09
TT00197,DH00247,chuyen_khoan_mo_phong,171000,thanh_cong,SBX6718715611,2025-10-09
TT00198,DH00248,tien_mat_tai_quay,804000,thanh_cong,SBX9260382637,2025-09-16
TT00199,DH00249,tien_mat_tai_quay,25667000,thanh_cong,SBX7670522833,2025-11-15
TT00200,DH00250,the_noi_dia_sandbox,8696000,thanh_cong,SBX5023707059,2025-11-07
TT00201,DH00251,vi_dien_tu_sandbox,103000,that_bai,SBX6121027759,2025-12-24
TT00202,DH00252,tien_mat_tai_quay,7014000,thanh_cong,SBX7605441168,2025-11-20
TT00203,DH00253,tien_mat_tai_quay,598000,thanh_cong,SBX1190616412,2025-11-18
TT00204,DH00254,vi_dien_tu_sandbox,414000,thanh_cong,SBX9151220496,2025-10-08
TT00205,DH00255,the_noi_dia_sandbox,2068000,thanh_cong,SBX4930971336,2025-11-07
TT00206,DH00256,chuyen_khoan_mo_phong,1127000,thanh_cong,SBX7171189775,2025-12-29
TT00207,DH00257,tien_mat_tai_quay,2875000,thanh_cong,SBX1929173389,2025-12-24
TT00208,DH00259,vi_dien_tu_sandbox,3680000,thanh_cong,SBX8410576923,2025-12-17
TT00209,DH00260,tien_mat_tai_quay,2818000,thanh_cong,SBX1145070463,2025-09-07
